Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;2.0057099191814288e+01;2.0057099191814316e+01;1.0000000000000000e+00;2.5689530830217451e-16;7.3259298238237975e-16;0.0000000000000000e+00;1.4968301477245969e-17;5.4824063707590602e-17;3.2020273386828628e-32
1;3;3;1.2618881115332510e+01;1.2618881115332515e+01;1.0000000000000000e+00;1.3018518929051675e-16;6.0961516709494824e-15;4.4408920985006262e-16;4.0009398382417522e-17;1.1706569984136306e-16;2.3405376359653493e-32
2;3;3;5.0497524691810387e+00;5.0497524691810431e+00;1.0000000000000000e+00;6.6073389382817846e-17;3.7143776198504411e-16;1.1102230246251565e-16;4.5874953761042754e-17;6.3284867277721251e-18;2.2794803194501630e-32
3;3;3;1.6527724186092104e+01;1.6527724186092183e+01;1.0000000000000000e+00;2.7289062128071230e-16;2.1278282721961150e-15;2.2204460492503131e-16;2.0168191024408496e-16;7.3234721803236765e-17;8.5805585729759941e-32
4;3;3;2.1794107690731956e+01;2.1794107690731813e+01;1.0000000000000000e+00;1.8129866073473580e-16;9.1710547403915414e-15;0.0000000000000000e+00;1.8993868761223119e-16;8.1306413234120628e-17;2.1324136897514017e-31
5;3;3;5.0497524691810387e+00;5.0497524691810414e+00;1.0000000000000000e+00;6.6073389382817846e-17;2.0765337035150593e-16;1.1102230246251565e-16;4.7778590022697955e-17;6.3284867277721251e-18;2.2794803194501630e-32
6;3;3;2.8417596524369184e+01;2.8417596524369156e+01;1.0000000000000000e+00;1.9246312009589744e-16;1.8835440576706000e-14;0.0000000000000000e+00;3.4602230196576067e-17;1.1445231393056084e-16;8.0706799935815459e-32
7;3;3;5.0497524691810440e+00;5.0497524691810396e+00;1.0000000000000000e+00;6.7623336859368801e-17;2.3649745778405729e-16;1.1102230246251565e-16;8.6228738964582384e-17;4.1990120810805314e-18;2.2390995234602107e-32
8;3;3;5.0497524691810529e+00;5.0497524691810565e+00;1.0000000000000000e+00;1.8149370317683227e-16;1.9248016739619228e-16;0.0000000000000000e+00;6.9273386564825412e-18;6.3284867277726882e-18;5.7716605303861061e-32
9;3;3;3.6399930636869442e+01;3.6399930636869698e+01;1.0000000000000000e+00;3.3965159158878590e-16;8.8460656631697742e-14;0.0000000000000000e+00;1.9523121612225539e-16;4.0042034720231524e-17;4.3726150575524160e-31
10;3;3;5.0497524691810556e+00;5.0497524691810529e+00;1.0000000000000000e+00;1.2919517348320736e-16;6.6071485584007679e-17;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00;5.5871471696365936e-32
11;3;3;2.2147033136516715e+01;2.2147033136516679e+01;1.0000000000000000e+00;1.0803600066475426e-15;9.7481433243869479e-15;2.2204460492503131e-16;2.9836813811264249e-16;2.4755128996259691e-16;5.8403477695538779e-31
12;3;3;1.1655904835267494e+01;1.1655904835267501e+01;1.0000000000000000e+00;3.1442710413047747e-16;8.5541863023535276e-16;2.2204460492503131e-16;1.4745677765642708e-17;6.1042946211263480e-17;6.3213161509248617e-32
13;3;3;5.0497524691810201e+00;5.0497524691810245e+00;1.0000000000000000e+00;6.6637832480063518e-17;3.2727351540141912e-16;2.2204460492503131e-16;1.7051666242672184e-16;3.5291453403832874e-18;2.1789409980263121e-32
14;3;3;3.6805061357719538e+01;3.6805061357719161e+01;1.0000000000000000e+00;1.4531641596508562e-15;5.6727432215134456e-15;2.2204460492503131e-16;2.5637905249343815e-17;1.1703609146446652e-16;2.2062222722462239e-31
15;3;3;5.0497524691810272e+00;5.0497524691810236e+00;1.0000000000000000e+00;2.9457823759235758e-16;2.2367393930403617e-16;2.2204460492503131e-16;2.8744789945579142e-17;2.0692662704494458e-16;9.3597081972098058e-32
16;3;3;1.1597331449530557e+01;1.1597331449530570e+01;1.0000000000000000e+00;2.2514010909618384e-16;1.6521769639475346e-15;2.2204460492503131e-16;3.5786880392639542e-16;2.4988806147341897e-17;1.2049702018910773e-31
